Title_i,ID_i,Doc_j,ID_j,Cosine Similarity
6,206,156,981,0.5220584
21,420,1222,6107,0.6739649
41,493,295,1936,0.5559247
48,506,267,1735,0.5180379
48,506,303,1972,0.5577479
48,506,1068,4514,0.5477138
62,549,542,3582,0.7777694
62,549,612,4540,0.5056888
70,570,586,4061,0.5009176
70,570,587,4062,0.5009176
70,570,1021,4060,0.5662755
74,592,566,3861,0.5257805
74,592,645,4983,0.6772984
74,592,650,5034,0.5803221
74,592,692,5924,0.5279621
74,592,1101,4851,0.650433
74,592,1265,6413,0.7864388
85,647,86,649,0.590418
86,649,85,647,0.590418
90,661,556,3771,0.6266044
90,661,635,4870,0.6045495
90,661,671,5481,0.5448859
90,661,1204,5862,0.526398
90,661,1213,5935,0.5170498
95,691,361,2390,0.5859789
95,691,951,3413,0.5103393
99,701,410,2714,0.6189223
110,758,146,894,0.5194905
132,833,1185,5733,0.5320114
136,850,596,4185,0.558106
139,870,556,3771,0.5231507
146,894,110,758,0.5194905
147,923,387,2557,0.6390501
156,981,6,206,0.5220584
158,994,720,499,0.7746439
165,1016,562,3815,0.507354
174,1068,764,1067,0.8756648
176,1076,562,3815,0.5684177
176,1076,1266,6420,0.5455137
177,1083,910,2995,0.5807238
197,1232,352,2330,0.5476465
197,1232,1124,5105,0.540077
197,1232,1203,5850,0.5207798
201,1308,380,2513,0.5319539
201,1308,780,1309,0.5469455
211,1363,309,2062,0.6460848
212,1364,552,3739,0.6436224
218,1417,792,1416,0.6086115
222,1458,223,1459,0.5442979
223,1459,222,1458,0.5442979
232,1562,529,3505,0.5542846
233,1587,1133,5146,0.5220952
234,1588,1264,6412,0.5519242
267,1735,48,506,0.5180379
267,1735,303,1972,0.5436161
267,1735,1068,4514,0.5066168
269,1755,315,2109,0.5771213
285,1870,534,3525,0.5643573
285,1870,643,4973,0.500267
285,1870,744,808,0.7218594
285,1870,833,1897,0.5754652
285,1870,1263,6411,0.7852237
289,1880,830,1894,0.5424638
289,1880,831,1895,0.6667879
289,1880,832,1896,0.7318268
291,1902,835,1946,0.7252244
291,1902,836,1952,0.500053
293,1915,519,3424,0.6217439
295,1936,41,493,0.5559247
303,1972,48,506,0.5577479
303,1972,267,1735,0.5436161
303,1972,328,2193,0.5152448
303,1972,1068,4514,0.592522
303,1972,1258,6379,0.5137651
309,2062,211,1363,0.6460848
309,2062,607,4469,0.5343885
315,2109,269,1755,0.5771213
323,2167,324,2168,0.8709276
324,2168,323,2167,0.8709276
327,2191,943,3280,0.6354074
328,2193,303,1972,0.5152448
328,2193,723,505,0.5434384
335,2224,338,2239,0.599872
338,2239,335,2224,0.599872
343,2264,356,2360,0.5246239
345,2289,354,2334,0.503975
352,2330,197,1232,0.5476465
352,2330,1124,5105,0.616657
352,2330,1203,5850,0.5309507
354,2334,345,2289,0.503975
356,2360,343,2264,0.5246239
361,2390,95,691,0.5859789
366,2409,479,3197,0.5488105
368,2424,860,2425,0.5136074
370,2433,453,3040,0.5813318
370,2433,1119,5067,0.6875032
380,2513,201,1308,0.5319539
380,2513,780,1309,0.6992784
384,2523,714,7,0.5267141
384,2523,811,1635,0.5652574
387,2557,147,923,0.6390501
389,2560,1263,6411,0.5375023
406,2687,888,2688,0.5758257
408,2712,409,2713,0.5017143
409,2713,408,2712,0.5017143
410,2714,99,701,0.6189223
416,2747,1015,4023,0.5184139
421,2798,607,4469,0.5158859
428,2852,702,6092,0.5130801
437,2931,906,2932,0.6034849
452,3033,881,2624,0.7566233
453,3040,370,2433,0.5813318
453,3040,1119,5067,0.5127251
479,3197,366,2409,0.5488105
497,3296,987,3801,0.5109922
502,3324,553,3757,0.6238108
506,3360,1059,4436,0.6560477
519,3424,293,1915,0.6217439
524,3459,1029,4152,0.6154284
529,3505,232,1562,0.5542846
534,3525,285,1870,0.5643573
